ModelFamily	ModelSize	ModelSeed	ModelStep	CorrelatingVariable	PearsonR	SpearmanRho
pythia	410m	seed8	16000	OpenWebText_1gram	0.5538546432123664	0.5571553807838291
pythia	14m	seed6	32000	Pile_5gram	0.7181635181360854	0.7097172129776436
pythia	14m	seed6	32000	Pile_4gram	0.7649407129375901	0.7703707905439705
pythia	14m	seed6	32000	Pile_3gram	0.8236503797052281	0.8332425626245894
pythia	14m	seed6	32000	Pile_2gram	0.8343257571122886	0.8429124182879945
pythia	14m	seed6	32000	Pile_1gram	0.7175652876010351	0.7249995884162849
pythia	14m	seed6	32000	wcd_cc	0.6141655536137549	0.6356871652985445
pythia	14m	seed6	32000	ucd_cc	0.6041167618458664	0.6268930480051687
pythia	14m	seed6	32000	wcd_wiki	0.48306975933277	0.4847873545924215
pythia	14m	seed6	32000	ucd_wiki	0.448015800811597	0.44805933207345955
pythia	14m	seed6	32000	OpenWebText_5gram	0.744866126411797	0.7402238664819412
pythia	14m	seed6	32000	OpenWebText_4gram	0.7696857309297387	0.7731849565093222
pythia	14m	seed6	32000	OpenWebText_3gram	0.8127530349178894	0.8248332205126977
pythia	14m	seed6	32000	OpenWebText_2gram	0.8253687618376263	0.8362218263696612
pythia	14m	seed6	32000	OpenWebText_1gram	0.7131672877606023	0.721095053507416
pythia	410m	seed1234	143000	Pile_5gram	0.7546264205697354	0.7587176577003293
pythia	410m	seed1234	143000	Pile_4gram	0.7785963268086923	0.7888788143264907
pythia	410m	seed1234	143000	Pile_3gram	0.7725071483827233	0.7760128809196006
pythia	410m	seed1234	143000	Pile_2gram	0.6947706143565499	0.6961247908865302
pythia	410m	seed1234	143000	Pile_1gram	0.530938207285387	0.5328685848331373
pythia	410m	seed1234	143000	wcd_cc	0.49551263757225233	0.5019619026688666
pythia	410m	seed1234	143000	ucd_cc	0.4870940241000335	0.4936524081503608
pythia	410m	seed1234	143000	wcd_wiki	0.43501247248705316	0.4301771203953551
pythia	410m	seed1234	143000	ucd_wiki	0.41696871563958876	0.4068479918583536
