RegressionType	ModelFamily	ModelSize	ModelSeed	ModelStep	Rsquared	Rsquared_val
UnmatchedNgram_UCDWiki	pythia	410m	seed9	16000	0.6071728246842282	0.6121804109254474
UnmatchedNgram_WCDWiki	pythia	410m	seed9	16000	0.6019822658925591	0.6072484469994248
MatchedNgram_UCDCC	pythia	410m	seed9	16000	0.6113987459787483	0.6158443223693877
MatchedNgram_WCDCC	pythia	410m	seed9	16000	0.6100749787915802	0.6147217602134136
MatchedNgram_UCDWiki	pythia	410m	seed9	16000	0.6215916487552564	0.626525418776698
MatchedNgram_WCDWiki	pythia	410m	seed9	16000	0.6177826123315282	0.6226790708716123
UnmatchedNgram_UCDCC	pythia	12b	seed1234	2	0.011697775846653657	0.012242887119654822
UnmatchedNgram_WCDCC	pythia	12b	seed1234	2	0.011672997465663082	0.01224825862634038
UnmatchedNgram_UCDWiki	pythia	12b	seed1234	2	0.011543784547351166	0.012171985197461543
UnmatchedNgram_WCDWiki	pythia	12b	seed1234	2	0.011552822732764256	0.012222874199984135
MatchedNgram_UCDCC	pythia	12b	seed1234	2	0.01217853051373885	0.012747349497800653
MatchedNgram_WCDCC	pythia	12b	seed1234	2	0.012165363176119826	0.012756404142643785
MatchedNgram_UCDWiki	pythia	12b	seed1234	2	0.012059427877521234	0.012711356140539642
MatchedNgram_WCDWiki	pythia	12b	seed1234	2	0.012067606932239405	0.012742056813310976
UnmatchedNgram_UCDCC	pythia	1_4b	seed1234	128000	0.5463346373980975	0.5492317630358947
UnmatchedNgram_WCDCC	pythia	1_4b	seed1234	128000	0.5442385420441945	0.547278648534743
UnmatchedNgram_UCDWiki	pythia	1_4b	seed1234	128000	0.5591566747037517	0.5623249882650947
UnmatchedNgram_WCDWiki	pythia	1_4b	seed1234	128000	0.5525775455817751	0.5560356423182815
MatchedNgram_UCDCC	pythia	1_4b	seed1234	128000	0.5746858108472684	0.5790478732462339
MatchedNgram_WCDCC	pythia	1_4b	seed1234	128000	0.5728256999807417	0.5773141249621652
MatchedNgram_UCDWiki	pythia	1_4b	seed1234	128000	0.5850664418837994	0.5898237158166537
MatchedNgram_WCDWiki	pythia	1_4b	seed1234	128000	0.5798243163268242	0.5845431156180312
UnmatchedNgram_UCDCC	pythia	70m	seed3	2	0.00048064723258656183	0.00020286730203178394
UnmatchedNgram_WCDCC	pythia	70m	seed3	2	0.00044125833793318137	0.00012035979691271681
UnmatchedNgram_UCDWiki	pythia	70m	seed3	2	0.001099138901929142	0.0007739788437688411
UnmatchedNgram_WCDWiki	pythia	70m	seed3	2	0.001521221049966992	0.0011250893432063203
MatchedNgram_UCDCC	pythia	70m	seed3	2	0.0005521721651525757	0.0002719824784555014
MatchedNgram_WCDCC	pythia	70m	seed3	2	0.0005104655722825147	0.00018854096978060397
MatchedNgram_UCDWiki	pythia	70m	seed3	2	0.0011816244974557355	0.0008659180976079428
MatchedNgram_WCDWiki	pythia	70m	seed3	2	0.00160953546985243	0.0012284436346771122
UnmatchedNgram_UCDCC	pythia	410m	seed1	1	0.0013562815381842341	0.0016425258467580583
UnmatchedNgram_WCDCC	pythia	410m	seed1	1	0.0009961741301877103	0.001302585016767166
UnmatchedNgram_UCDWiki	pythia	410m	seed1	1	0.0003950175691284086	0.0008699314033986383
UnmatchedNgram_WCDWiki	pythia	410m	seed1	1	0.0003849897012083714	0.000773604503050529
MatchedNgram_UCDCC	pythia	410m	seed1	1	0.0012263947948957243	0.001474674621138039
MatchedNgram_WCDCC	pythia	410m	seed1	1	0.0008939776822336487	0.0011574290708191715
MatchedNgram_UCDWiki	pythia	410m	seed1	1	0.0003084235067832841	0.0007511016494032852
MatchedNgram_WCDWiki	pythia	410m	seed1	1	0.00029564350319644106	0.0006559955626483926
UnmatchedNgram_UCDCC	pythia	14m	seed5	2	0.011586236159014773	0.011361594474860404
UnmatchedNgram_WCDCC	pythia	14m	seed5	2	0.011451848803290532	0.01071235591977937
UnmatchedNgram_UCDWiki	pythia	14m	seed5	2	0.014300567895176752	0.014301344810600858
UnmatchedNgram_WCDWiki	pythia	14m	seed5	2	0.01486076646691148	0.014094184427223877
MatchedNgram_UCDCC	pythia	14m	seed5	2	0.011999761298439382	0.011642354599690874
MatchedNgram_WCDCC	pythia	14m	seed5	2	0.01189161792265736	0.011052255303531933
MatchedNgram_UCDWiki	pythia	14m	seed5	2	0.014698582476179167	0.01451394724820454
MatchedNgram_WCDWiki	pythia	14m	seed5	2	0.015213405772257271	0.014294291949923155
